三径入青山	三径
刺刺猩猩血湿衣	血
今日恐轻江上去	轻
青山长送古人归	古人
万事不堪堪	堪
幽人意更幽	幽
我师无一事	师
行到到山头	行
天上老坡仙	仙
扬州渭水边	扬州
如今不容我	容
春草绿芊芊	绿
不是安禅客	客
闲来看月过	月过
归来多少小	小
阴处不作麽	阴
先生血策勋	战
落花开一架	架
独有伯夷时	夷
令人心白发	心
绿树阴阴薄	薄
千花气绿阴	气
想君人静处	君
回首尚伤心	尚
溪山佳处是吾乡	乡
花气熏人草木香	人
今日归来还有信	信
与公到处是重阳	公
稚子重来一布衣	布衣
老子重来一布衣	布衣
可笑老来羞妩媚	羞
落花满路劝人归	路
溪山处处有浯溪	溪
石壁乌藤万古碑	藤
今日登山人不见	人
重来重见重来时	重
突出林间屋	屋
蝉声入小窗	小窗
凤凰池上客	客
窗外读书窗	窗外
一阵东风作好风	风
江头春色已成空	空
分明一阵间梅雨	间
一片愁心似梦中	心
江南陌上人	人
雨逐天风驶	风
满地扫桃花	扫
桃花主人处	主人
江北江南九月天	天
扁舟楚客泊江船	客
可怜离别离情苦	苦
明日归来相送然	相送
记得春来看牡丹	牡丹
却将脂粉逞娇妍	娇
从教细雨催人去	人
争得还家似少年	家
不知何处不闻莺	莺
不是愁人自有情	人
昨夜东风多暮雨	东风
却怜遥听杜鹃声	怜
黄金殿里百花开	辟
一曲霓旌旆影来	影
一种百花千万树	树
落花飞上古阳台	古
万事似当年	当年
那知别有天	天
辽东今已老	东
应是梦中仙	仙
不得眼中书	书
不及溪边草	草
归来秋色空	空
啼鸟不相恐	恐
江南陌上人	人
香火自焚香	焚香
不知三百里	百
遥指顾咸阳	顾
一日归来一日闲	闲
玉炉香冷不生寒	寒
花开花落无花发	花
随分梅花看牡丹	分
篱落梅花柳色新	新
把杯沽酒买东邻	买
回头却被梅花笑	笑
不是渔人是钓人	渔人
太液池边柳色新	新
满宫寒暖不宜春	寒
凤凰池上黄金碧	碧
流出宫花万里春	春
落尽江南万里云	云
江山处处见昭君	江山
知君秋色知何处	君
一片落花红茜裙	红
初见枝头一叶红	红
秋光都在月明中	月明
夜来音去不归去	音
唯有落花多好风	风
千古长安石	石
婆娑一老芝	婆娑
登山还自有	自有
不是是闲时	闲
天地从来天地宽	宽
主人心事已衰残	残
莫嫌心事缘何事	嫌
只为南山隔北山	隔
一树梅花四十春	春
雨翻荷叶已精神	翻
老来不怕天风起	风
不怕天风懊恼人	风
不是当时节	节
清风是主人	清风
故人今有道	道
何处是高神	高
千年翰墨画难成	成
付与东风作好风	风
今日交亲无一事	亲
至今犹在在山中	犹
北山归去几经秋	秋
只有南泉水自流	水
山鸟不归人不去	人
一花随水到溪头	花
江南陌上人	人
拄杖一杖屦	杖
不是北边风	风
只在老松里	松
小桥流水自回环	回环
轻出菰蒲第一湾	轻
记得湖中春色胜	胜
晚来急雨对南山	雨
不是当时节	节
而今复主人	复
何人可怜耄	怜
一笑自精神	一笑
昔日游山不胜游	游
如今不见故山羞	山
夜来风雨催归去	呼
想见青山犹白头	犹
天文郑广文	文
登山如杜宇	宇
岳阳台上云	云
散作天上雨	雨
岩上一株松	松
山头日长日	日
归来一日闲	闲
那得清思处	清思
南国归来事未全	全
梅花应不惜春妍	春
也知行向山前路	行
只恐迟迟不著鞭	迟
万事似当年	当年
伤心忽忽然	忽
如今若为报	报
有客亦凄然	客
麻头白项翅如金	金
明日重来视出林	视
野野老来无到处	野
老来不是两贤心	贤
长短短长短	短
冰鉴如许长	鉴
明朝市朝市	市
何处在林塘	山林
满眼青灯照眼明	明
谁知疾疾亦多情	疾
閒居父老知何事	居
独有三贤向此行	贤
鼎鼐调羹手	手
先皇太乙先	先
欢娱方翥日	日
黄叶独凄然	黄叶
令人忆昔时	忆
今见不当门	门
如今君不见	君
西是上皇恩	西
细雨霏霏湿翠烟	烟
淡烟微雨欲粘天	天
游人不睡还堪笑	笑
细雨晴风更悄然	风
自有一诚斋	斋
多病亦多病	病
谁知有斯民	民
不能唤作鳖	鳖
春色自陶朱	朱
东风作好风	风
斜阳花影里	斜阳
应不到郎中	郎
不知天上帝	帝
不是雨随风	雨
万事非何事	非
吹香一梦中	香
一望吴城九陌头	头
北风吹雨下帘钩	钩
如今陌上孤舟去	孤舟
朱在杨花最上头	朱
两鬓峨眉不画眉	眉
至今风雨是愁时	愁
夜来风雨多愁恨	愁
却恨离愁愁不知	愁
不得安心法	法
不相色相同	色相
篝灯照眼明	明
都在万尘中	万
寒食多寒食	寒食
孤山尚未兴	兴
谁知见桃李	桃李
知是故人风	风
三十年来尚有诗	诗
更添宫漏漏迟迟	宫
今年春事无人识	识
正是长吟三月时	吟
西山明月夜	夜
月照洞庭波	波
惟有池边草	草
师师奈若何	师
安得胸中使	使
胸中有些子	子
胸中有此日	日
作雨不作雨	雨
十年不到五峰前	前
密密绵绵一坦然	绵绵
山色既残无尽处	残
却随风雨晓来天	天
细雨春蚕麦	麦
宫中歌舞人	人
三春春上雨	春
终日醉青春	醉
昔日登山忆故山	山
依然今日照孱颜	颜
如今不见青山色	色
留得红云带雨还	带雨
一室萧然一秃翁	翁
夜来风雨唤秋风	唤
石头万事成何事	石头
回首依然一梦中	依然
细雨作堆盘	堆盘
万象森罗列	列
不知双眼底	底
少妇饷耕去	耕
溪山佳处且迟留	留
何处重来双屐齿	齿
归去归来不记年	年
松间绿酒一樽酒	酒
万里猿声杳不闻	闻
鸡声一阵晚风飘	飘
凭谁为乞吴山色	乞
不得胡尘到六朝	尘
南国重来有此心	心
行人不见故山深	山
十年不到扬州路	路
此去何关一寸心	关
本不与诸贤	诸
我亦不为眼	眼
所以化为底	底
更可一时见	一时
百年不似北山居	居
此乐其如此乐无	乐
独向西窗北窗下	窗
清风何处且踟蹰	清风
酷暑天寒暑气侵	侵
萧萧疏雨占春阴	春
雨声唤起行人耳	耳
不惜骚人一寸心	惜
明月照清寒	清寒
人心如此孰	孰
一夜风雨来	风雨
西窗夜犹热	犹
溪山处处一花开	梅花
却恐春风细雨来	恐
细雨隔帘风细雨	风
水边人见杏花开	人
夜深云气烈	烈
谏起腐儒冠	冠
何事不知世	世
当门处处安	门
打破虚空事已空	空
夜深一夜听悲风	夜深
六宫闭户知何事	宫
都在诗人一梦中	诗人
当年张丽华	华
玉腕玉无瑕	玉
何人知我怀	怀
健妇吃黄花	健妇
不入壶中别有天	天
行人到处恐依然	恐
当时好景知何处	当时
有客重来是几年	客
造物不相容	容
金针刷毛羽	羽
如今昔不来	昔
今不下庭户	庭
临水登山尚尚余	尚
梦中初见竹轩舆	竹
故人争得相争处	争
安得闲身不读书	身
龙舟处处见龙舟	龙舟
鸥鸟相呼最上头	呼
想得此行行上路	行
却随拄鼻到山头	鼻
不是晋诸贤	诸
而今莫谩然	谩
欲从何处行	行
老子出扶田	扶桑
风月在尊前	前
数声更萧然	数声
灵岩在何处	岩
与我话凄然	话
老来何事太匆匆	太
细雨馀香一梦中	香
料得此身缘底事	身
华胥一枕梦西风	梦
野花初见野花开	野花
纵有才名去不来	名
正是游人行到处	行
又分吹雨上楼台	分
细草飞花不作泥	泥
春风细细细初齐	细
游人不解留人意	意
明日但令啼鸟啼	令
麻衣不着六铢衣	衣
那得皇华到者稀	华
若使本来无内使	使
他年留得去年归	年
不见长安石	石
莓苔拂紫苔	紫
落花无处问	问
犹自入山来	山
一夜西风雨露寒	寒
白沙滩上白沙滩	滩
渔人起起船头卧	卧
却是荷花有意看	有意
万事从来不是仙	仙
一炉茶灶炷香烟	香
炉中更有双蝴蝶	蝴蝶
却入僧房宿昼眠	宿
数间茅屋对青山	青山
杨柳清风自往还	杨柳
记得重来同宴坐	坐
又随风雨送君还	君
燕子归来未肯归	肯
又将双泪向人稀	人
不知多在西林处	西林
唯有落花春自飞	春
玉殿初从玉殿开	玉殿
曼卿相引上瑶台	引
谁知玛瑙阶前水	水
今夜难随细雨来	难
桥下水如水	水
落花江上愁	愁
扁舟向前去	前
摇落水中秋	秋
寥寥寥落九天风	风
杜宇遥怜明月中	怜
落尽落花春已尽	春
又将春雨费春风	费
风雨乍飞来	乍
霜毛拨不开	霜毛
谁知故耆旧	旧
不得梦归来	梦
西山明月夜	夜
影转冰轮转	转
塔影动风光	影
飞过石桥水	水
绿草连云护石城	护
一霜开尽绿阴晴	霜
梨花落日松风起	松风
只有山头山水声	山水
寂寂泉声静	静
沉沉月影残	残
古来怀宋玉	玉
肠断楚云寒	云
一派泉声汹汹流	流
不知草木在山头	草木
如何不得长生药	药
此地根深也不收	深
风霜憔悴鬓如霜	霜
春色已随春日长	春
一夜夜寒寒夜雨	寒
又将春梦入诗肠	诗
江南陌上凤凰儿	儿
明日西风惊起时	惊
应是使君离别处	使君
宫中春色识谁知	识
百花锦如锦	锦
春色不如君	君
如此化为客	客
恼人愁杀君	愁
三十四时都不记	记
不知何处不逢人	人
落花山鸟应相笑	笑
不是桃花别是春	春
一气中元气	气
壶中别有天	天
胸中有欢喜	喜
兄弟自萧然	兄弟
微风细雨绿槐阴	阴
寂寂风光暑气沉	醒
细雨入山春意静	山
还将白鹤照人心	白鹤
把酒不堪醉	醉
那堪折赠君	君
谁知北窗下	窗
怜我与诸君	怜
月色浑如水	水
归来不是间	间
不将花鸟弄	弄
疏悴不相关	疏
一阵东风作好风	风
水边春草绿茸茸	绿苔
寂寞游人皆寂寞	寂寞
一年春事总成空	空
细雨霏霏湿翠烟	烟
人间处处是春天	人间
谁知不是归僧处	僧
犹向青山记少年	犹
阕兮金叵罗	罗
兮兮珊瑚树	树
凤兮落不来	落
呆兮归来晚	晚
夜泊扁舟古岸傍	傍
秋光初破水云乡	破
归来十里平湖里	十里
何事应须是醉乡	须
燕子归来春意深	深
倚楼邀月独伤心	月
隔帘风静莺声静	静
谁弄珠帘弄舜琴	弄
细雨浮云忽忽来	忽
扁舟行到画船回	行
一株杨柳堤边柳	柳
杨柳裙腰拨不开	腰
一夜西风雨露寒	寒
乱飞阵阵满阑干	败叶飞
可怜一夜吹空雨	空
借与诗人作病看	病
万事寻常事	寻常
行人不作泥	泥
青山无尽日	日
何处是将军	将军
五载西湖五载归	五载
老来心事孰如希	孰
片帆冲雨冲云去	云
老尽衰颜更不归	颜
十日又春风	春风
都将万物同	万物
春来不催去	催
都在月明中	明
十年不到五峰前	前
细雨临风紫自然	紫
料得人间缘底事	人间
壶中都是玉壶天	天
声中惟有一般声	声
一别离离别是春	春
今日归来无尽日	日
不知何处不愁人	人
落叶萧萧一叶秋	秋
夜来风雨见春愁	春
老来不得知何事	何事
一雁南飞不点头	飞
昨日西园一种梅	梅
小桃初见杏花开	小
别来天上谁相赠	赠
又是还生逐雨来	生
暑气薰风暑气凉	凉
眼明疏雨洗秋光	明
落花木落寒山静	山
唤起还惊不断肠	惊
天上长安道	道
东南四十州	州
谁能将剑气	气
不是好风流	风
澄波万顷濯沧波	波
杨柳烟低柳绿多	绿
流水落花争著处	争
杨花处处识笙歌	识
孤峰顶上云	云
松下一僧起	僧
飞来岩上空	空
孤松下华岳	华
狮子不知谁氏子	子
梅花作雨不作雨	雨
不是行人不作愁	愁
却向街头看未足	足
不见山头月	月
轮囷一转中	轮囷
夜来颠倒影	影
天上万人风	人
人间万事非	非
不知非是非	非
送我不送归	送
竹林乔不归	乔
忽闻天上雨	雨
不见车马革	革
安知不是空	空
今日棣华起	华
朔风吹雨被风吹	风吹
努力驱人去不移	人
记得江南江上路	路
故人闻道立多时	道
天上蓬莱第一尊	尊
玉皇天下语龙门	语
南山只在云何处	云
独对南山行不言	行
日暖春风暖	暖
园花一树芳	芳
不知离别恨	恨
移影落花香	影
陌上三番女	女
莲花万里香	香
不是真人处	真人
凭虚对夕阳	虚
昨日清风细细推	推
不知天上少牙牌	少
海棠花发浑无事	花
偷得閒游处处来	游
一树无花尚有花	花
归来终日觉横斜	觉
春来岂是无情物	物
江水重来自一家	江水
秋风摇落九天风	风
荷叶披毛拂镜中	毛
好是吴王王乐处	王
岂惟憔悴对秋风	惟
把酒不堪醉	醉
看花不自持	不自
起来三伏枕	枕
正是月来时	月
天上长安道	道
今朝泪湿衣	湿
胸中三百果	果
今日未全归	全
物色虽无数	数
谁知帝自亨	帝
欲知家造物	家
不是冠冠名	冠
把酒不堪醉	醉
行人不解愁	解渴
登山自自有	自有
还自向渠头	渠
春来不忆君	君
如今迹已陈	陈
落花泥不湿	泥
何处惹埃尘	尘
了无一事不为官	官
不与行人路往还	路
若得禅关无一事	关
九渊何处是骊山	渊
归来方隐隐	隐
茶灶炷熏炉	炉
老子真成事	成
真龙作画图	龙
孤棹归来岁月孤	孤
江南南北故应无	南北
如今两鬓浑如雪	雪
折得梅花作画图	梅花
江北江南一片帆	帆
不知名与海天宽	名
老来何事浑无事	浑
莫作临流洗眼看	临流
独向山中宿	宿
犹堪忆旧时	犹
雪消消不尽	消
心事不堪悲	虚
打破虚空事已空	空
方知法界有余踪	有余
何劳不用劳无力	劳
那得须弥顶上峰	顶上
风光凝不流	流
寒食广寒食	食
行人不直下	直下
是不是佛子	佛祖
千峰崷崒白雪中	雪中
滔天地险与天通	天
登山临水倦游处	游
却向南山认北风	认
旧事无人问	问
林中有好风	风
至今无壮岁	岁
更觉几年中	觉
百年三十日	日
一见一齐腰	腰
今日如君日	君
相寻过石桥	寻
何事归来更不惊	惊
夜来风雨泪痕新	新
故人知是谁家女	女
赢得钗头白似银	银
闭门终日欲驱车	车
今日经旬不属车	车
日日归来三日日	日日
又将白浪看黄花	白浪
一树梅花四十春	春
共游杯酒倍精神	游
落花不管年年事	年年
惟有荣枯似故人	枯
乞与幽人一炷香	香
此山长与故山长	山
归来归去休休去	休
看到中原亦可伤	原
方知不漏泄天机	悟
身世推求总是非	求
若是不圆圆缺处	圆
百花香里更沾衣	香
一时同调不同调	调
日日留留作别调	留
流水落花无限意	意
却将流泪费长桥	费
夜来风雨更凄凉	凄凉
白露沾衣出锦囊	囊
唯有游人不相忆	忆
濛濛烟雨满斜阳	烟雨
一种桃花陌上游	游
胸中惟有许风流	许
从来乐事如今日	今日
不是游人不上楼	楼
欲去去复复	复
归来万里风	风
归来衫袖薄	薄
知是楚王公	公
一雨东风柳眼青	青
归来十里不关情	十里
山中更有谁云雨	云
不是看花巧不成	巧
不向仙家住	住
归来燕颔须	须
老来无限思	思
独自镇长安	镇
长安陌上簿书生	书生
心事常欺不世情	欺
今日为君无一事	君
落花风里听泉声	风
初入武陵溪	溪
归去不须辞	不须
处处坚牢落	落
还家忆旧时	家
昔年湖上客	客
春事一时休	休
今日来相访	访
谁禁最上头	禁
老来犹记记当时	犹
满面风光翠画眉	翠
自是元来无一事	元
不知天气有谁知	天气
夜来风雨不胜秋	秋
又见梅花喜点头	喜
吹尽落花人不见	人
北风吹雨到山头	始
万壑千山隔	隔
相逢不相逢	相逢
令人不相忆	忆
君作万家钟	君
一夜清风入梵宫	宫
清光万里万春风	万
西风吹散梅花散	散
尽在黄河汉汉中	汉
不随车马走	走
何处不伤春	春
且向樽前醉	醉
何缘是主人	缘
物色知多少	少
行人得意多	得意
虽然一缸面	面
那得奈郎何	郎
不见山头月	月
重来不涌金	金
谪仙得仙去	仙
不是杜陵心	陵
又向桃花陌上行	行
从来豪气恣纵横	纵横
不知走马桥边路	路
行路应须马上行	须
昨日驱车趁晓来	晓来
归时但见见花开	但见
从来风月如今夜	昨夜
秉烛将残把一杯	残
故园春色自芳菲	芳菲
又见花间白鸟飞	飞
落尽落花人不见	人
又翻风雨送人归	翻
淅淅溪流涨浅沙	沙
此身处处是谁家	身
也知行路难佳处	难
却向沙边见菜花	鹿
昔日咏淋漓	咏
吟风细细奇	细
至今无此曲	曲
今是向东时	东
万事重来有此心	心
老人心腹负如今	负
老来更有依前事	前
老子归来子更深	子
细雨霏霏湿翠烟	烟
诗人人意独凄然	诗人
梨花折尽无花发	花
御水看花又几年	水
江山常在水云乡	乡
归去重来赖断肠	赖
自是无心惟有酒	酒
杜鹃声里别愁肠	声
急泛扁舟趁晓晴	晓
谁将太白发分明	发
洛阳陌上新新雨	新
不是秋霜看不成	秋霜
微风细雨绿槐阴	阴
只有梅花慰客心	客
如今不作西流去	西流
雨过西楼月更深	月
海上玉龙飞	龙飞
墙东向北归	东
侍臣宣诏诏	臣
先赐御烟衣	烟
昔日登山忆故山	山
往来处处阻跻攀	寻
今年不是他年事	年
只在人间在世间	人间
一片孤云去不移	移
每逢佳处少迟迟	少
至今荒冢无穷处	荒
正是梅花斗草时	草
归去几重重	重
归来寒几重	寒
主人今不见	主人
终日不相逢	终日
千年垂老鬓斓斑	鬓
三百年来身等闲	身
今日落花人不见	人
不知春事在人间	世间
块石嵌拉启	启
东方识圣人	不识
圣人都不杀	杀
岂是太尧仁	太
山色浑如画	画
随风忽忽来	忽
封题作诗句	题
黄鹤为谁开	黄鹤
三月宫花一样妆	妆
百花初见石榴芳	芳
从来知是东风处	东风
到处谁教柏子香	教
春色浑如玉	玉
萧然一病身	身
会须缘底事	须
知是故林神	林
昔日谢苏公	公
周郎事不同	郎
好风三更雨	风
夜雨送秋风	送
烟雨连天云水接	接
游人归去未还家	家
闭门尽日无多日	日
只有春花看落花	春
万事不应难	难
风高浪漫漫	浪
不知三四海	四海
莫作举头看	宣
帝子归来今始知	始
满庭花影影迟迟	影
十年不到经行处	行
始是重来送别时	始
浔阳陌上立西风	西风
梦里惟闻一梦中	闻
最是江山佳处处	最
月明都在月明中	明
东都是故基	基
惟有一株梅	梅
东望一千里	东
还随夏木来	木
万事从来作麽生	生
金篦打彻底惺惺	底
坚牢瞎得当头瞎	牢
却向街头更不鸣	鸣
野苑东风渐渐稀	野
苑西斜日照斜晖	西
双双蛱蝶令归去	令
趁得杨花也误归	误
老来一事不为官	官
何事还宜拥鼻端	宜
不是行人莫相送	送
夜来风雨落春寒	落
山北江南万里云	云
老来不可不王君	不可
武陵寺里曾归去	曾
却向长安数十分	安
昔人来不取	取
不见故人居	居
惟有衣冠汉	汉
惟愁不读书	愁
北风吹雨出长干	干
谁与诸君细细看	清净
只在红红花影里	红红
不知何处识春寒	识
凤凰池上雨	雨
飞上水边梅	梅
独向池塘里	池塘
孤吟过雁来	吟
出岫拥寒云	云
钟声何处闻	闻
故人缘底事	问
此月是昭君	月
君子是先生	先生
归来犹未行	犹
何人能乞我	乞
何事亦难成	成
行人到处不当门	门
心事真成亦自存	成
岂是人间有归兴	兴
自惭刘阮亦无言	惭
一事谁为尔	尔
归来喜眷颜	喜
梅花无一事	梅花
知是树南山	树
五百年来意气佳	佳
中原和气到天涯	原
无端的的知人意	意
万事休休尚可夸	休
一间茅屋对青山	青山
携酒归来春自闲	春
把酒看花应不胜	胜
东风吹上玉朱颜	玉
空山明月夜	夜
梦入巫山梦	梦
青灯照眼明	明
时听枕边声	声
春来不忆君	君
欲泛剡溪曲	溪
中有金黄金	金
落花更无数	数
百年三百百	百
终不受胡尘	尘
父老容何事	容
重来愿主人	愿
百花如锦绣翚飞	飞
流向银河去不归	河
今日春风人静处	春风
看来还是泪痕时	泪痕
子美谁为美	美
梅花伴太迟	伴
移阴在何处	阴
身在碧中时	碧
少年和气入文章	文章
万事翻思日日长	思
老子老来须一事	须
读书窗下读书香	书
不唱袁州曲	曲
曾为楚客来	客
白云收不得	收
归去未休回	休
乞与幽人一炷香	香
枝枝叶叶染青黄	红
谁知不是无公子	公子
付与东皇上玉皇	东
老来何事不胜愁	愁
杜杜鹃啼最上头	啼
流水落花无限思	思
一琴樽酒别离愁	酒
激箭箭如箭	箭
谁能救屈平	平
当时无用处	当时
时有落泉声	落
去年十日已登登	登
此去重来一倍增	微
折得百花千尺锦	锦
不知何处且迟登	迟
粝食饥寒食	食
馋涎作剑烹	剑
料得南山老	南山
悬知特地生	生
翰墨本来如翰墨	翰墨
不如今日笔毛锥	今日
如今翰墨今知失	失
援笔方知是此时	始
老子坐中坐	坐
老子心如水	水
万事不纷纷	纷纷
回头还不睡	睡
岂是知人意	人意
须知不是行	行
莫嫌山路远	远
知是远归程	远
万事从来乐事优	优
令人多感感离愁	感
今年不作千年恨	恨
须向青山最上头	须
风雨过江南	江南
平溪满碧潭	溪
六朝天上去	六朝
画图在江南	画图
默默无言自不言	言
不知全体是庄严	严
谁知不是依前事	前
赢得江南又卷帘	江南
佛法从来不与俱	俱
通身是佛是间无	间
如今不到林泉处	林泉
自古勋名总是无	名
不入南州路	路
何处见秋风	秋风
知君在何处	君
明月月明中	明月
乐府归来一炷香	香
摩诃池上麦初黄	黄
老来不得逃名姓	姓
一种梅花已姓杨	杨
稚子悲欢喜	喜
归来百感秋	秋
归休无一事	归休
今日共寻游	寻
江山虽不用	不用
何事不相期	期
独有虽延寿	寿
如君在此时	君
秋风摇落九天风	风
菡萏红蕖绿水中	水流
料得桓伊无着处	伊
芦花深处不闻钟	闻
万事有无间	间
处处见君山	君
惟有一炷香	香
三月五更寒	寒
绿柳千株绿	绿
清波绿影中	清波
不知人意少	少
憔悴是春风	嫌
老来万事不相容	容
只有鵷雏习气浓	雏
自是屈平无一事	平
人人只道是元龙	道
行人到处不当门	门
一带孤烟过远村	烟
草木荣枯已枯老	枯
至今犹恨未消魂	犹
夜来风雨不胜秋	秋
多在长安独上楼	长安
今日思君无到处	君
夜寒寒月别离愁	寒
昭阳寺里千竿竹	竹
长忆昔年曾读书	曾
细雨落花人不见	人
故搴红袖拂香裾	香
落叶满琅玕	琅玕
泉声散广寒	散
青山无尽日	日
直向眼中看	直
开尽梨花菊已残	残
不知谁是客长安	客
别来只在秋光里	秋光
正是离愁人不难	人
春色浑如玉	玉
壶中日月迟	迟
天涯无别处	天涯
正是穿云时	穿云
腰缠缕缕缕萦缠	缠
楖栗笼中鱠缕牵	遮
赢得丫头长著脚	脚
又抛针线信青钱	信
摇落梅花蕊	蕊
梅花对雨开	雨
文章在何处	文章
归去却成来	成
万事常多感	感
春来尚好风	风
此中无人识	识
惟有一花红	花
细雨霏霏湿翠烟	烟
梨花如雨雨含烟	雨
北风吹笛休吹去	吹
不作西楼一夜眠	眠
乐府归来一炷香	香
莲花洞里拥禅房	洞
谁知漏泄春光处	春光
细嚼梨花一炷香	瘦
万事无人识	识
依然碧碧幢	碧
游人不具眼	眼
那得自何生	何如
一臂一半臂	臂
臂中弹一镞	沫
臂上更无人	无人
秋风开一夜	一夜
池上千株柳	柳
光中万里身	身
水边栽满地	栽
还是旧时人	春风
万事从来作麽生	生
又随风雨作寒声	寒
老来不作封书梦	书
又见梅花照眼明	明
昔日登山忆故山	山
十年今见古诗坛	古
如今不是恩波处	恩波
又见青山水一湾	水
打破虚空事已空	空
芳心心事与谁同	芳心
如今两鬓浑如雪	雪
添得杨花万里风	风
万事当时都勘破	破
碧纱窗下读书窗	窗
十年不到经行处	行
休向长江一曲江	休
埋尽南山战战场	藉
将军又见雁河阳	雁
当时曾到经行处	曾
风雨萧萧竹隔墙	竹
江南陌上人	人
走马去迟迟	迟
想见伤春处	春
看花著意归	意
万事从来太阿娇	娇
妻孥活计亦何劳	妻
谁知不是寸心事	寸心
却恐令人筋力豪	恐
两鬓浑如雪	雪
蝉声出暮云	暮云
梦中闻不语	闻
不是妒昭君	妒
碧天如水水如水	水
二月风光月初发	发
不见梅花不忆君	君
与我与君一杯酒	君
何事归来更不惊	惊
不知何处不堪行	行
一春日日知何处	春
卧听茅檐新雨声	新
日日西湖上	湖上
青山满白云	白云
桃花护生处	生
不见古来稀	稀
百草堂前一树春	春
举头又见一番新	新
从来大地火如火	火
便是西山与北人	北
已怯东风柳眼青	青
归来依约住山亭	山
青山万里三千里	万里
却向人间枕上听	间
乞与幽人一炷香	香
却疑佳处是斜阳	疑
山中都是一年事	一年
仙去不来春日长	仙
茅檐风雨泻檐声	声
花影高低日月明	低
看到平明无到处	平明
向西门外更多情	西
临水登山不可寻	寻
莫将造物放人心	放
欲知一片伤心处	一片
