一径无三径	三径
谁知柏子子	子
今日无此日	日
愿得山中雨	雨
千峰只在万峰前	前
满地绵绵带暮烟	绵绵
春雨未残归不去	残
夕阳江上水粘天	天
麦麦浑如麦	麦
田田刈刈人	人
那知有春物	春
不是醉游人	醉
江上万重山	山
重来陌上颜	颜
白头春色色	色
细雨雨中看	带雨
记得山头一秃翁	翁
因风细雨唤春风	唤
杖头便向溪头去	石头
只在依然烟雨中	依然
终日出金盘	堆盘
光光与列看	列
不知云雾底	底
何处不耕安	耕
少年何事不相留	留
赢得黄花齿白头	齿
却是他年无一事	年
更无樽酒酹春愁	酒
老去归来杳不闻	闻
秋风飘逐白鸥群	飘
何人乞与春归去	乞
洗尽缁尘一片云	尘
何人识此心	心
不复出山山	山
白石桥边路	路
从来不上关	关
何处是诸贤	诸
老眼不具眼	眼
从来罗缝底	底
不是一时处	一时
不是野人居	居
谁能与我乐	乐
相对北窗窗	窗
一夜清风起	清风
朝来暑气侵	侵
幽鸟不知春	春
惟有佳人耳	耳
何应惜故人	惜
微风细雨共清寒	清寒
料得人心孰自难	孰
安得西来怕风雨	风雨
故人犹向雪中看	犹
何处见梅花	梅花
梅花恐恐斜	恐
夜来风不露	风
人见看梅花	人
习气烈温温	烈
衣冠冠冠冠	冠
谁能知此世	世
终日叩门门	门
斜风细雨扫空空	空
深院深深细雨中	夜深
三十六宫无底事	宫
诗人只在诗人中	诗人
三十年来两鬓华	华
梅花如玉玉无瑕	玉
如今不是怀常事	怀
强趁春来一雪花	健妇
渺渺长江水拍天	天
行人犹恐误渔船	恐
当时鸥鹭知何处	当时
只有扁舟上客船	客
万事不容容	容
何如双羽羽	羽
今年不如昔	昔
独向庭庭老	庭
三十年来尚尚余	尚
萧萧修竹竹萧疏	竹
争争底事知何事	争
赢得闲身独读书	身
扁舟江上上扁舟	龙舟
呼系扁舟系钓舟	呼
却是扁舟两行处	行
直从滩上一搔头	鼻
何处是诸贤	诸
人心不谩传	谩
须知万里行	行
桑鹞过桑田	扶桑
千峰只在万峰前	前
长笛数声过水边	数声
归去不来岩影里	岩
故人长话话依然	话
少年何事太匆匆	太
一炷炉香一梦中	香
老老不知身已老	身
夜来春梦梦秋风	梦
野花不种花	野花
老子亦有名	名
欲向天上行	行
故人还自分	分
细雨淤泥泥	泥
轻风细细长	细
主人无限意	意
不令到斜阳	令
细雨湿罗衣	衣
桃花两鬓华	华
主人虽不使	使
年是种桃花	年
石石石石石	石
山中紫霞紫	紫
我来无处问	问
只在山深处	山
一夜东风五月寒	寒
白云飞上武陵滩	滩
山中只有白云卧	卧
乞与诗人有意看	有意
疑是谪仙仙	仙
焚香桂香里	香
处处是蝴蝶	蝴蝶
不知岩下宿	宿
青山何处见青山	青山
杨柳桃花自往还	杨柳
想见桃花枝上坐	坐
不知君不在人间	君
一树桃花未肯归	肯
又随风雨袭人衣	人
西林只在深林处	西林
不见桃花春不归	春
白玉楼前玉殿开	玉殿
桃花深处引徘徊	引
多情不似阶前水	水
燕子应难不放来	难
流水山前水	水
江山日暮愁	愁
湖光照前水	前
不是梦中秋	秋
西风吹雨满天风	风
春色谁怜日月中	怜
一树桃花春已尽	春
不知何处费春风	费
一树梅花乍乍开	乍
黄毛枝上雪花开	霜毛
故园春色浑如旧	旧
不见梅花入梦来	梦
不在山中夜	夜
看来不转转	转
月照千峰影	影
骊山岩下水	水
白云深处护高峰	护
只有霜霜半夜钟	霜
一夜松风风雨去	松风
谁家山水照芙蓉	山水
昼静闭门静	静
半残花影残	残
不知关上玉	玉
处处隔云看	云
昨夜东风咽不流	流
南山草木替离愁	草木
朝来独有山中药	药
多谢恩深送客愁	深
老去归来鬓似霜	霜
晚来何处见春芳	春
城头柳色寒如雪	寒
日日寻诗到海棠	诗
街头儿哺儿	儿
走马走惊梭	惊
不知使君去	使君
应不识如何	识
春色浓如锦	锦
重来不忆君	君
可怜湖上客	客
愁杀是离人	愁
本来都不记	记
不是是於人	人
自笑不相笑	笑
今春不是春	春
习气千年气	气
须知别有天	天
不知吾自喜	喜
兄弟自相传	兄弟
杨柳桥边绿树阴	阴
游人醒处恣吟吟	醒
行人更欲寻山去	山
白鹤归来一寸心	白鹤
五日十日醉	醉
今年不赠君	君
朝来北窗下	窗
今日怜送君	怜
流水山前水	水
孤云杳霭间	间
扁舟何处弄	弄
疏影上疏竿	疏
西风吹雨满天风	风
一树残花绿草中	绿苔
落日落花还寂寞	寂寞
梨花春雨不成空	空
一树荷花带晓烟	烟
人间处处变桑田	人间
游人记得僧归去	僧
犹记归来二十年	犹
陌上紫罗罗	罗
一树桃花树	树
吹落一枝枝	落
不知归晼晚	晚
茅屋茅茨绿水傍	傍
竹篱茅屋破绳床	破
夜来枕上三十里	十里
须卧禅床卧石床	须
春来春意深	深
独向池边月	月
独在静闺中	静
临风不相弄	弄
白鸟忽飞来	忽
扁舟行不回	行
可怜堤上柳	柳
何处又腰回	腰
一夜东风五月寒	寒
落花漠漠晓天寒	败叶飞
海棠花落空空去	空
不似当年一病看	病
不知何处是寻常	寻常
细雨掀泥草草场	泥
明日白云无尽日	日
将军何处不开场	将军
少年三十载	五载
不是孰相求	孰
浮云与云去	云
何处见孱颜	颜
去年今日又春风	春风
万事无情万物同	万物
又向落花催去去	催
主人明在向东东	明
千峰只在万峰前	前
万里青山紫郁然	紫
谁知不是人间事	人间
试问壶中别有天	天
杜鹃声里听溪声	声
啼鸟数声春鸟声	春
明日白云无尽日	日
隔山犹有几人行	人
三十年来四十秋	秋
一家风物富春秋	春
老来何事今何事	何事
白鸟飞飞送客愁	飞
蜡梅枝上一株梅	梅
小摘梅花贴眼开	小
不是主人谁可赠	赠
又随春雨又生来	生
昨夜东风暑气凉	凉
一楼明月一窗明	明
青山不在山深处	山
鸥鸟归来独自惊	惊
主人无道道	道
不是赵州州	州
不是英雄气	气
淳风第九秋	风
流水漾沧波	波
荷花映绿荷	绿
渔人争缺处	争
何处识烟波	识
江上万重云	云
青山寺里僧	僧
澄江空似水	空
何处向华经	华
白头狮子子	子
赢得山中雨	雨
不是也无愁	愁
具足不足足	足
明月湖边月	月
轮轮入玉楼	轮囷
夜来风影影	影
和气袭人愁	人
世事从来万事非	非
百年心事不知非	非
年来不与行人送	送
乔蔓摧惶又不归	乔
细雨不成雨	雨
膏膏拨不开	革
可怜空草色	空
不向鬓华来	华
江上北风吹	风吹
愁人白羽衣	人
武陵山下路	路
独向道南归	道
记得一尊尊	尊
不向此中语	语
不见天上云	云
处处无行路	行
日暖初初暖	暖
榴花独自芳	芳
落花无限恨	恨
将影入禅房	影
不是洛阳女	女
梅花桂树香	香
真人何处在	真人
虚对桂花香	虚
老子从来不可推	推
今年何事少迟迟	少
满城风雨催花发	花
今日缓游知几时	游
梦里寻花不见花	花
老来不觉觉生涯	觉
老来自是无情物	物
东水人家卖酒家	江水
西风吹雨满天风	风
不见龟毛上角鸿	毛
何事不知王好事	王
至今惟在月明中	惟
五日十日醉	醉
游人不自持	不自
竹床欹枕枕	枕
正是月来时	月
主人无道道	道
独向苔痕湿	湿
有果有行人	果
不觉全无事	全
茅屋今无数	数
明朝谒帝乡	帝
不知家汉国	家
不是冠冠章	冠
五日十日醉	醉
恼渴也不多	解渴
老子自有来	自有
其奈渠奈何	渠
何处不为君	君
江山各自陈	陈
雨来泥滑滑	泥
中有一綦尘	尘
不是富官官	官
回头路屈盘	路
柴门不掩关	关
却向水中渊	渊
山中无隐隐	隐
一炷一炉炉	炉
梦觉真成梦	成
龙气入乾坤	龙
万里青山迥不孤	孤
江南南北是吾庐	南北
洛阳池上雪如雪	雪
不见梅花不是无	梅花
江上一帆帆	帆
归来不得名	名
不知浑底事	浑
临虢一行行	临流
不向山中宿	宿
至今犹未归	犹
梦魂消不尽	消
何处不虚归	虚
斜风细雨扫空空	空
万事无余在有中	有余
不是游人劳好事	劳
依然顶上不相同	顶上
昨夜东风咽不流	流
主人无食替人愁	食
向来直下今天下	直下
佛祖如今不白头	佛祖
夜来冰雪中	雪中
天下天如天	天
不知何处游	游
不认山中传	认
往事如相问	问
飘然万里风	风
今年千岁岁	岁
已觉落花中	觉
日日无归日	日
黄花处处腰	腰
不知君不去	君
寻泊泊溪桥	寻
车马归来去不惊	惊
一番风雨一番新	新
谁知不是南阳女	女
不见楼前两鬓银	银
林下响缫车	车
龙车走马车	车
不知无日日	日日
白浪望沧浪	白浪
不见梅花二十春	春
却游今日看红尘	游
今年不是年年好	年年
不是荼枯是故人	枯
一炷一炉香	香
从来不见山	山
归来未休去	休
知是旧时原	原
佛法不不悟	悟
无非不是求	求
一体无圆偈	圆
从来不是香	香
从来不可调	调
处处不相留	留
不是主人意	意
人心无费谋	费
风雨正凄凉	凄凉
胸中一寸囊	囊
不知何所忆	忆
烟雨不凄凉	烟雨
二十年来何处游	游
不知何处许风流	许
去年今日不归去	今日
不见青山最上楼	楼
行人不复复	复
风雨往来风	风
自是人情薄	薄
黄花不谢公	公
一树桃花满眼青	青
荷花十里已青青	十里
轻风细雨冲云去	云
巧尽梅花满白萍	巧
不向青山住	住
从来万事须	须
年来无限思	思
不是镇回途	镇
平生不得老书生	书生
世事谁欺与此生	欺
我是使君君知否	君
一窗风雨听风声	风
一溪流水下浯溪	溪
鸥鸟不须到此时	不须
不见梅花慰牢落	落
看来还是故家诗	家
江南湖上客	客
归去几时休	休
日日来相访	访
黄花禁客愁	禁
少年何事事犹犹	犹
唯有风光拂翠岚	翠
自是元来无一事	元
不知天气是乾坤	天气
三十年来四十秋	秋
百年心事喜离愁	喜
如今万事随人见	人
始觉如今有客愁	始
万里江山隔	隔
行人不相逢	相逢
归来不相忆	忆
今日与君同	君
昨夜春风入六宫	宫
千千万万暮云中	万
东风不逐东风散	散
一树桃花在汉中	汉
不作蛟龙走	走
谁知万里春	春
不知千日醉	醉
缘是白头人	缘
昔日游人少	少
谁知得意时	得意
看来面面面	面
不是是郎时	郎
明月湖边月	月
桃花簇带金	金
何人得仙去	仙
知是武陵陵	陵
白水浮云万里行	行
小桥流水不纵横	纵横
小桥流水桥边路	路
须得扁舟第一行	须
江上晓来来	晓来
祗从天上来	但见
不知今夜夜	昨夜
残月照残灰	残
不知何处是芳菲	芳菲
不见梅花处处飞	飞
零落落花人不见	人
又翻风雨送春归	翻
万顷平沙涨浅沙	沙
不知身在野人家	身
不知到处知难处	难
两鹿从来是几家	鹿
不作骚人咏	咏
焚香细细评	细
西风一曲曲	曲
东畔寂无声	东
何人识此心	心
彼此不相负	负
不在三峰前	前
独有柏柏子	子
一树荷花带晓烟	烟
诗人风月逼人眠	诗人
行人折得桃花发	花
流水归来水自然	水
昨夜春风入帝乡	乡
不知何处赖霓裳	赖
宫中惟有蒲萄酒	酒
静听檐声不断肠	声
东风催晓晓	晓
细雨发荷花	发
记得新新雨	新
秋霜是岁华	秋霜
杨柳桥边绿树阴	阴
山中有客不伤心	客
如今不向西江去	西流
不见青山有月心	月
龙飞天上白云飞	龙飞
车马东东去不归	东
今日侍臣南北望	臣
满城烟雨湿烟衣	烟
江上万重山	山
相寻远往还	寻
往来年不去	年
心事在人间	人间
燕子移来兴未移	移
春风日日少迟迟	少
荒荒柳絮乍归去	荒
不见梅花入草时	草
山色重重重	重
东风五月寒	寒
主人何处去	主人
终日不相看	终日
二十年来鬓鬓斑	鬓
此身那得此身闲	身
千年万事随人见	人
唯有虚名在世间	世间
不向金门启	启
如侬是圣人	不识
主人羞杀杀	杀
不是太阳春	太
不作行人画	画
归来忽忽来	忽
主人题旧句	题
白鹤白云开	黄鹤
陌上桃花一样妆	妆
桃花深处与芳芳	芳
今年不逐东风去	东风
蜂蝶争教不放忙	教
白玉峰头白玉玉	玉
我来天下一身身	身
谁知此去还须去	须
不见林林是主人	林
不是谢公公	公
萧郎老老翁	郎
清风与风雨	风
日日送秋风	送
相望青山接	接
处处有人家	家
浮云无尽日	日
春入碧桃花	春
百年何事事难难	难
赢得长江一浪宽	浪
极目江山皆四海	四海
不宣天上到天寒	宣
亡国从来始始知	始
凤凰台上影迟迟	影
如今万里无行路	行
始是今年有别时	始
东风吹雨趁西风	西风
梦里时闻入梦中	闻
正是桃花最深处	最
只应明怨怨春风	明
从来世事基	基
惟有一株梅	梅
日日东东去	东
梅花一木开	木
湖边春草生	生
漾漾沧波底	底
摵摵暮潮来	牢
幽禽自鸣去	鸣
青山连野野	野
家在画桥西	西
惟有渔人令	令
行人误淤泥	误
不是富官官	官
真宜事自难	宜
老来都不送	送
只向落中看	落
江上万重云	云
孤云不可攀	不可
向来曾不见	曾
不向梦中安	安
从来都不取	取
不是主人居	居
圣命不如汉	汉
不堪愁读书	愁
天子从来势未干	干
谁知清净到长安	清净
行人留得红红白	红红
说与诗人不识看	识
细雨不成雨	雨
归来不见梅	梅
池塘何处处	池塘
应是一吟来	吟
江上万重云	云
猿声处处闻	闻
向来无处问	问
孤月照孤云	月
不知何处是先生	先生
险险犹堪十十程	犹
今日乞从天上去	乞
世间万事竟难成	成
日日出阊门	门
落花成底事	成
唯有故人兴	兴
飞来惭白鹤	惭
老子何为尔	尔
先生亦不喜	喜
何处见梅花	梅花
不见庭前树	树
一树梅花处处佳	佳
故原遗迹在天涯	原
个中唯有游人意	意
不是游人休叹嗟	休
青山何处见青山	青山
啼鸟寻春去不还	春
今日不知春色胜	胜
桃花枝上玉孱颜	玉
不在山中夜	夜
不作梦中梦	梦
明光照眼明	明
一声声不断	声
何处不为君	君
飞来江上溪	溪
不随金白雁	金
数在画桥西	数
百百三年二百年	百
今朝风雨满京尘	尘
不知今日容归去	容
不愿青山作主人	愿
江上雁飞飞	飞
吴河归雁归	河
春风花影里	春风
不是泪痕归	泪痕
不向山中美	美
游人伴寂寥	伴
墙阴松树下	阴
飞上碧层霄	碧
不知何处是文章	文章
一夜秋风思故乡	思
不是主人须底事	须
故将双泪到书床	书
清风一曲曲	曲
不是山中客	客
行人去不收	收
归去去休去	休
一炷一炉香	香
枝头一点红	红
谁知与公子	公子
知在武陵东	东
老来何事不愁愁	愁
静听鸦啼不尽愁	啼
折得梅花无限思	思
且将樽酒送春愁	酒
不作蛟龙箭	箭
浑如掌掌平	平
当时无妙处	当时
不是落精坑	落
临水登山不可登	登
隔溪流水欲微冰	微
湖光山色浓如锦	锦
不见扁舟迟暮汀	迟
饱食虽无食	食
居然与剑颠	剑
南山行乐处	南山
春草草生田	生
从来真翰墨	翰墨
今日少年时	今日
今日不相失	失
故人今始知	始
自在山中坐	坐
溪流水自流	水
纷纷在何处	纷纷
归睡不回头	睡
老来人意扰人情	人意
独向孤云处处行	行
遥望远山归远远	远
鸟声无远听猿声	远
亡国从来事不优	优
平生何事感悲俦	感
闺中尚有行人恨	恨
涕泪还须上戍楼	须
风雨到江南	江南
苕溪上画桥	溪
六朝三月里	六朝
行人入画图	画图
三十年来不可言	言
严严何事更超然	严
不知不在依前后	前
不到江南二十年	江南
世事从来不是俱	俱
世间间事两纷纷	间
如今更向林泉去	林泉
唯有名名与白云	名
流水桥边路	路
秋风起晚风	秋风
不知君不去	君
明月月明中	明月
一炷一炉香	香
阶前叶叶黄	黄
圣人都不姓	姓
知是白杨杨	杨
老来都不喜	喜
留得一秋秋	秋
记得归休去	归休
相寻迹自幽	寻
从来不用用	不用
不是不相期	期
不得三千寿	寿
与君君不知	君
西风吹雨满天风	风
流水芦花绿水中	水流
我欲为伊何处去	伊
一声闻听笛声中	闻
极目青山杳霭间	间
使君终日与君还	君
西风昨夜香归去	香
一夜西风夜月寒	寒
杨柳萧条绿	绿
清波水上来	清波
不知春色少	少
春色莫嫌开	嫌
万事不容容	容
双猿去不去	雏
江南春水平	平
不向江南道	道
日日出阊门	门
东风看晓烟	烟
已枯黄叶老	枯
犹在石门前	犹
三十年来四十秋	秋
长安心事不回头	长安
青山处处君知否	君
一夜寒寒送客愁	寒
江上千竿竹	竹
曾从天上来	曾
夜来人不见	人
一夜夜香开	香
乔木自琅玕	琅玕
落日秋风散	散
落日不归日	日
行人不相直	直
一树桃花菊未残	残
今年为客到长安	客
不知只在秋光里	秋光
乞与高人醉眼看	人
白玉峰头白玉玉	玉
枝上花开花影迟	迟
老来不是天涯事	天涯
卧看闲云细雨时	穿云
腰腰白帽髻腰腰	缠
春色初遮半不娇	遮
知是洛阳桥上脚	脚
美人骑马信东桥	信
一树桃花烂未开	蕊
萧萧风雨雨莓苔	雨
个中只有文章事	文章
只恐真成独往来	成
世事无多感	感
萧然万古风	风
故人都不识	识
应在此花中	花
一树荷花带晓烟	烟
淡烟晴雨湿晴烟	雨
西风一笛吹吹笛	吹
添得芦花处处眠	眠
一炷一炉香	香
洞洞主君子	洞
日日泄春光	春光
松柏独自瘦	瘦
万事无人识	识
不见山中碧	碧
明光照眼眼	眼
直下更何如	何如
不得黄金臂	臂
从来不倒翻	沫
不是无人会	无人
一夜一销魂	一夜
杨柳湖边柳	柳
杨花老妾身	身
不栽桃李老	栽
春处是长春	春风
湖边春草生	生
细雨怯寒寒	寒
处处无书雁	书
灯明意自宽	明
江上万重山	山
江南古城古	古
何处出波波	恩波
不见东塘水	水
斜风细雨扫空空	空
多在秋心入梦中	芳心
想见梅花枝上雪	雪
别来犹有一般风	风
从来勘不破	破
细雨打窗窗	窗
自是无行路	行
休休日夜忙	休
一树桃花艳不妍	藉
夕阳归雁楚江边	雁
不知此去曾何处	曾
独向西风到竹边	竹
往来天上人	人
世事迟迟迟	迟
不知江上春	春
主人意迟迟	意
一树桃花各自娇	娇
妻孥归去不长条	妻
寸心自是伤心事	寸心
只恐梨花在画桥	恐
池上雪如雪	雪
暮云看白云	暮云
何处闻猿唳	闻
山色妒江云	妒
流水山前水	水
西风落花发	发
去去君不来	君
处处君知否	君
车马归来去不惊	惊
行人不向梦中行	行
行人若欲寻春去	春
惟有溪头新雨晴	新
只在西湖上	湖上
归来看白云	白云
不知生险处	生
归去亦何稀	稀
不见梅花二十春	春
别来不见一番新	新
山中只有桃花火	火
北北青山作主人	北
一树桃花满眼青	青
重来重见故山青	山
西湖万里三千里	万里
不见青山间树青	间
一炷一炉香	香
无心不是疑	疑
一年一分别	一年
仙去竟何疑	仙
杜鹃声里听溪声	声
花影初低过几程	低
直到平明何处事	平明
画桥西畔两三声	西
老去归来不可寻	寻
满山流水放人心	放
谁将一片片云去	一片
付与游人嗔苦吟	嗔
昔日出衡衡	衡
东风怕风雨	风雨
晚来江上溪	溪
知是渔舟客	客
孤舟江上一扁舟	孤舟
记得群群送远游	群
世事相容莫归去	容
青山只在浙江头	青山
春色已纷纷	纷纷
春来不到家	家
桃花树深处	深
何处见桃花	当年
钟声午夜钟	钟
处处在人间	人间
不是吾先事	先
行人看取还	取
何处不为君	君
人心本无心	无心
不是人间事	人间
雪雪无人心	雪
老子从来自有诗	诗
百年心事不相追	追
青山处处君知否	君
送我归来更有诗	诗
春来气未平	平
处处不相寻	寻
游人暂归去	暂
风雨满秋林	秋
翻身是此身	身
不是不为人	人
不得箧中书	书
不是不识真	不识
翻身是此身	身
万事亦不陈	陈
不惜白衣衣	衣
不知日行人	日
牢落今牢落	落
江山雪如雪	雪
行人无使归	使
惟有春风雨	春风
一叶枝头柿叶红	红
西风吹雨满天风	风
今朝不是明朝事	今朝
不见桃花眼自空	空
积雨堕不堕	堕
幽人寄故人	寄
青山桥下水	水
流水漫津津	漫
朝来春气浓	浓
